player_id,total_years,war_years,pos,diff
wisede01,3,0,Unknown,3
noboaju01,4,0,Unknown,4
lyonsst01,6,0,Unknown,6
overbly01,6,0,Unknown,6
kiescbr01,4,0,Unknown,4
kellydo01,5,0,Unknown,5
mccarda01,5,0,Unknown,5
wagnema01,6,0,Unknown,6
terreje01,6,0,Unknown,6
wallati01,6,0,Unknown,6
seitzke01,6,0,Unknown,6
whitema01,6,0,Unknown,6
johnsro07,6,0,Unknown,6
nunezab01,6,0,Unknown,6
maiermi01,5,0,Unknown,5
salazlu01,6,0,Unknown,6
jimenda01,5,0,Unknown,5
martida01,6,0,Unknown,6
larocad01,6,0,Unknown,6
pecotbi01,6,0,Unknown,6
martean01,6,0,Unknown,6
loretma01,6,0,Unknown,6
ojedaau01,5,0,Unknown,5
harlola01,5,0,Unknown,5
lawva01,6,0,Unknown,6
maynebr01,6,0,Unknown,6
reynocr01,6,0,Unknown,6
hilldo01,6,0,Unknown,6
zeileto01,6,0,Unknown,6
haltesh01,6,0,Unknown,6
oquenjo01,5,0,Unknown,5
harrile01,6,0,Unknown,6
menecfr01,6,0,Unknown,6
jonesga02,5,0,Unknown,5
lakerti01,4,0,Unknown,4
hatchmi01,6,0,Unknown,6
newmaje01,6,0,Unknown,6
heepda01,6,0,Unknown,6
perezto03,5,0,Unknown,5
hancoga01,5,0,Unknown,5
kunkeje01,6,0,Unknown,6
milesaa01,6,0,Unknown,6
lopezfe01,6,0,Unknown,6
schumsk01,6,0,Unknown,6
ramiral03,6,0,Unknown,6
nordhwa01,6,0,Unknown,6
roberle01,6,0,Unknown,6
mcdonda02,3,0,Unknown,3
venturo01,6,0,Unknown,6
kusiccr01,6,0,Unknown,6
mendoma01,6,0,Unknown,6
osikke01,6,0,Unknown,6
simpsjo01,6,0,Unknown,6
jonesja04,6,1,Non-Pitcher,5
relafde01,6,0,Unknown,6
kingmda01,6,0,Unknown,6
wilsogl01,6,0,Unknown,6
oneilpa01,6,0,Unknown,6
woodja02,2,0,Unknown,2
valdewi01,4,0,Unknown,4
leachri01,6,0,Unknown,6
iorgda01,6,0,Unknown,6
howarda02,6,0,Unknown,6
hallbi03,6,0,Unknown,6
webbbr01,6,0,Unknown,6
mcdonjo03,6,0,Unknown,6
